0                    WARNING main_yb_yb_EG_sim      Starting EG attempt at 0.
240,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 24 took 51830 attempts.
240,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 240000000000000000.
240,250,284,204,562,000 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
240,250,284,204,562,000 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
250,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 25 completed in 250.321714862 seconds.
250,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 25 took 46073 attempts.
250,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 250000000000000000.
250,204,374,550,499,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
250,204,374,550,499,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
260,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 26 completed in 204.4120604995 seconds.
260,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 26 took 37608 attempts.
260,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 260000000000000000.
260,175,227,666,624,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
260,175,227,666,624,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
270,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 27 completed in 175.2651769245 seconds.
270,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 27 took 32266 attempts.
270,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 270000000000000000.
270,280,871,831,499,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
270,280,871,831,499,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
280,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 28 completed in 280.9093414995 seconds.
280,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 28 took 51704 attempts.
280,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 280000000000000000.
280,024,372,105,812,000 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
280,024,372,105,812,000 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
290,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 29 completed in 24.409616112 seconds.
290,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 29 took 4493 attempts.
290,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 290000000000000000.
